observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
110540.93628999991 20112.3858 3451.2378000000003 250.33 14221.4799 126593.47389207793 11900.826446280991  3299.183190551217  3299.183190551217 251.10310128874832  5.452164601686217E8  1.6636298679744935E8  79653.0  210919.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108450.35890999991 54293.52431 3381.81635 250.15 55584.76328 117182.5982203353 61487.603305785095  3508.0356459577333  3508.0356459577333 250.3001824793535  5.644412360242432E8  1.92184243894144E8  79854.0  211429.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108212.34250999993 34333.8657 2915.7009000000003 250.13 37011.550200000005 111440.72875967405 39669.42148760331  3083.998173058029  3083.998173058029 249.7919725108364  5.472513071305195E8  1.1791627759617126E8  80054.0  211941.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109872.50689999993 71878.96932999999 3135.86607 250.27 76674.99979 123479.8103050681 61487.603305785095  3148.3149388210927  3148.3149388210927 250.842671459775  5.665666763607858E8  1.1247297486485413E8  80254.0  212463.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
111040.77072999995 76367.56194 3012.89093 250.37 80548.7167 139245.92091314972 61487.603305785095  3295.002786133559  3295.002786133559 252.11535552695614  5.676128222737819E8  1.4306498034865287E8  80455.0  212973.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
114039.77736999994 106964.57016 2721.3208400000003 250.63 112684.89764 179405.66790830385 69421.48760330575  3103.6630415402187  3103.6630415402187 255.04468934971553  5.1358674546675515E8  1.5582222733440036E8  80655.0  213461.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
141278.77087999997 36154.69116 2951.40336 252.8 66345.08803 168791.79376401988 73388.42975206609  3570.5324222180457  3570.5324222180457 254.2980359672631  5.696619088497124E8  2.0044309582397196E8  80855.0  213971.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
120928.36867999996 101216.4741 2975.205 251.2 83841.2769 175845.60402698015 73388.42975206609  3399.036884973785  3399.036884973785 254.79572948754534  5.522703249358269E8  1.8084591842855072E8  81056.0  214468.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
131012.33015999994 83069.70707 3074.3785000000003 252.01 96228.04705000001 125878.90208189134 142809.9173553719  3384.8316397169897  3384.8316397169897 251.04551632540023  5.717298184869301E8  1.5832258756438306E8  81256.0  214980.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
115005.72725999996 24099.160499999998 3510.7419 250.7 11603.299500000001 122752.68534600675 11900.826446280991  2828.689789603594  2828.689789603594 250.78003147363944  5.543066679030935E8  5.579510573874055E7  81457.0  215492.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
104983.25334999996 9284.623070000001 4242.64233 249.83 3504.79149 112136.31048482517 6148.760330578512  7972.406020603068  7972.406020603068 249.85630079393556  5.738124270124404E8  1.145704174363134E9  81657.0  215993.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
